Repository,Compliance%,Total Score,Max Score,README Score,Docs Score,Files Score,CI/CD Score,Code Score,Issues
abundant-aussie-web-main,12,4,31,0,0,1,0,3,"README: README.md file missing or empty; Docs: Missing docs directory; Files: Missing CONTRIBUTING.md|Missing LICENSE file|Missing CODE_OF_CONDUCT.md|Missing .gitignore|Missing SECURITY.md; CI/CD: Missing CI/CD configuration|Missing Dockerfile|Missing docker-compose configuration|Missing deployment documentation; "
AflFantasyManager,67,21,31,9,3,4,3,2,"README: Missing ChaseWhiteRabbit NGO branding; Docs: Missing docs/setup directory|Missing docs/architecture directory|Missing docs/deployment directory|Missing docs/troubleshooting directory|Missing CHANGELOG.md; Files: Missing CODE_OF_CONDUCT.md|Missing SECURITY.md; CI/CD: Missing deployment documentation; Code: Low JSDoc/TSDoc coverage (1%); "
agile-workspace,16,5,31,0,1,1,0,3,"README: README.md file missing or empty; Docs: Missing docs/setup directory|Missing docs/architecture directory|Missing docs/deployment directory|Missing docs/troubleshooting directory|Missing docs/README.md|Missing API documentation|Missing CHANGELOG.md; Files: Missing CONTRIBUTING.md|Missing LICENSE file|Missing CODE_OF_CONDUCT.md|Missing .gitignore|Missing SECURITY.md; CI/CD: Missing CI/CD configuration|Missing Dockerfile|Missing docker-compose configuration|Missing deployment documentation; "
ai-remix-platform,48,15,31,5,1,3,4,2,"README: Missing project overview section|Missing technology stack section|Missing ChaseWhiteRabbit NGO branding|Missing badges|README content too brief (< 200 words); Docs: Missing docs/setup directory|Missing docs/architecture directory|Missing docs/deployment directory|Missing docs/troubleshooting directory|Missing docs/README.md|Missing API documentation|Missing CHANGELOG.md; Files: Missing CODE_OF_CONDUCT.md|Missing .env.example for Node.js project|Missing SECURITY.md; Code: Low JSDoc/TSDoc coverage (0%); "
architecture-diagrams,54,17,31,10,1,0,3,3,"Docs: Missing docs/setup directory|Missing docs/architecture directory|Missing docs/deployment directory|Missing docs/troubleshooting directory|Missing docs/README.md|Missing API documentation|Missing CHANGELOG.md; Files: Missing CONTRIBUTING.md|Missing LICENSE file|Missing CODE_OF_CONDUCT.md|Missing .env.example for Node.js project|Missing .gitignore|Missing SECURITY.md; CI/CD: Missing deployment documentation; "
AutomationServer,58,18,31,10,1,3,1,3,"Docs: Missing docs/setup directory|Missing docs/architecture directory|Missing docs/deployment directory|Missing docs/troubleshooting directory|Missing docs/README.md|Missing API documentation|Missing CHANGELOG.md; Files: Missing CONTRIBUTING.md|Missing CODE_OF_CONDUCT.md|Missing SECURITY.md; CI/CD: Missing Dockerfile|Missing docker-compose configuration|Missing deployment documentation; "
